Observation Time (UTC),Penetration (mV/m),Quiet (mV/m),Quiet plus Penetration (mV/m)
2026-03-09 16:45:00,-0.08331869766870312,0.2017192572498606,0.11840055958115747
2026-03-09 16:50:00,-0.05979532277915079,0.20763205409974908,0.1478367313205983
2026-03-09 16:55:00,-0.03672547227185184,0.21371118472301978,0.17698571245116795
2026-03-09 17:00:00,-0.01680965006669349,0.2199432043911611,0.2031335543244676
2026-03-09 17:05:00,0.0008072907829112678,0.22631466137870107,0.22712195216161235
2026-03-09 17:10:00,0.01525362091835231,0.23281209696320732,0.24806571788155962
2026-03-09 17:15:00,0.02764725194834292,0.23942204542528686,0.2670692973736298
2026-03-09 17:20:00,0.03758994263668364,0.2461378484941653,0.28372779113084895
2026-03-09 17:25:00,0.045995279002656916,0.2532458585035202,0.29924113750617715
2026-03-09 17:30:00,0.04542889780711397,0.2614303030792876,0.30685920088640156
2026-03-09 17:35:00,0.021949613324477556,0.27140405218548014,0.2933536655099577
2026-03-09 17:40:00,-0.009963504793116904,0.2838802513517898,0.2739167465586729
2026-03-09 17:45:00,-0.026474962906837346,0.299572321673588,0.2730973587667507
2026-03-09 17:50:00,-0.025113142331069264,0.31919395981192655,0.2940808174808573
2026-03-09 17:55:00,-0.003456342835257883,0.343459137993537,0.34000279515827914
2026-03-09 18:00:00,0.017886853478529887,0.3730821040108305,0.39096895748936034
2026-03-09 18:05:00,0.022845489240688792,0.40874676488562817,0.43159225412631697
2026-03-09 18:10:00,0.023199990255099837,0.4498208243670135,0.4730208146221133
2026-03-09 18:15:00,0.026573885103879476,0.4938846806901778,0.5204585657940572
2026-03-09 18:20:00,0.03280819692912115,0.5383903587920138,0.571198555721135
2026-03-09 18:25:00,0.038436822815555646,0.5807889588673382,0.6192257816828938
2026-03-09 18:30:00,0.039554578576334334,0.6185306563688936,0.658085234945228
2026-03-09 18:35:00,0.04060691792082837,0.6490647020073476,0.6896716199281759
2026-03-09 18:40:00,0.039951156715654045,0.6698394217512932,0.7097905784669473
2026-03-09 18:45:00,0.02834270121558888,0.6783022168272481,0.706644918042837
2026-03-09 18:50:00,0.013793004817865757,0.6719414546327408,0.6857344594506065
2026-03-09 18:55:00,0.0061123848684050556,0.6500458550841894,0.6561582399525945
2026-03-09 19:00:00,0.002032001079603965,0.6143490796289452,0.6163810807085492
2026-03-09 19:05:00,-0.004415709190629022,0.5667598921020962,0.5623441829114671
2026-03-09 19:10:00,-0.009185160971908576,0.5091877768055834,0.5000026158336748
2026-03-09 19:15:00,-0.006910925565923201,0.4435429385081992,0.436632012942276
2026-03-09 19:20:00,-0.021530984558286906,0.37173630244559003,0.35020531788730314
2026-03-09 19:25:00,-0.03871792332517743,0.2956795143202553,0.25696159099507787
2026-03-09 19:30:00,-0.03765063937609812,0.2172849403015468,0.1796343009254487
