m, real, imag
917,-0.218078,-1.67845
918,-0.2022,-1.6451
919,-0.186846,-1.61264
920,-0.171992,-1.58105
921,-0.157616,-1.55028
922,-0.143698,-1.5203
923,-0.130217,-1.49106
924,-0.117156,-1.46254
925,-0.104497,-1.43471
926,-0.0922249,-1.40754
927,-0.0803229,-1.38101
928,-0.0687768,-1.35507
929,-0.0575728,-1.32972
930,-0.0466978,-1.30493
931,-0.0361393,-1.28067
932,-0.0258856,-1.25692
933,-0.0159254,-1.23367
934,-0.00624815,-1.2109
935,0.00315627,-1.18859
936,0.0122975,-1.16671
937,0.0211846,-1.14526
938,0.0298264,-1.12422
939,0.0382311,-1.10357
940,0.0464066,-1.0833
941,0.0543604,-1.0634
942,0.0620998,-1.04385
943,0.0696317,-1.02464
944,0.0769624,-1.00575
945,0.0840984,-0.987191
946,0.0910456,-0.968933
947,0.0978097,-0.950971
948,0.104396,-0.933295
949,0.11081,-0.915895
950,0.117057,-0.898762
951,0.123141,-0.881887
952,0.129067,-0.865262
953,0.13484,-0.848879
954,0.140463,-0.832728
955,0.145941,-0.816804
956,0.151278,-0.801099
957,0.156476,-0.785605
958,0.161541,-0.770316
959,0.166475,-0.755225
960,0.171282,-0.740326
961,0.175964,-0.725614
962,0.180526,-0.711081
963,0.184969,-0.696723
964,0.189296,-0.682533
965,0.193511,-0.668507
966,0.197616,-0.65464
967,0.201613,-0.640926
968,0.205505,-0.627361
969,0.209294,-0.61394
970,0.212982,-0.600659
971,0.216571,-0.587512
972,0.220065,-0.574497
973,0.223463,-0.561608
974,0.226769,-0.548843
975,0.229984,-0.536196
976,0.233111,-0.523664
977,0.23615,-0.511244
978,0.239103,-0.498932
979,0.241972,-0.486724
980,0.244758,-0.474617
981,0.247464,-0.462608
982,0.250089,-0.450694
983,0.252637,-0.438871
984,0.255107,-0.427137
985,0.257501,-0.415488
986,0.259821,-0.403922
987,0.262067,-0.392435
988,0.264241,-0.381025
989,0.266344,-0.36969
990,0.268376,-0.358426
991,0.270339,-0.347231
992,0.272233,-0.336102
993,0.27406,-0.325038
994,0.275821,-0.314035
995,0.277515,-0.303091
996,0.279145,-0.292204
997,0.28071,-0.281371
998,0.282212,-0.27059
999,0.283652,-0.25986
